,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-04 22:00:00,437181,2021-01-04 22:00:00,,0.005,,54.0,,0.007,,0.029,,0.9,,0.037,,0.008,,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 23:00:00,437181,2021-01-04 23:00:00,,0.005,,58.0,,0.009,,0.025,,0.8,,0.032,,0.007,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 00:00:00,437181,2021-01-05 00:00:00,,0.004,,49.0,,0.011,,0.023,,0.7,,0.027,,0.004,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 01:00:00,437181,2021-01-05 01:00:00,,0.003,,52.0,,0.011,,0.024,,0.5,,0.027,,0.003,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 02:00:00,437181,2021-01-05 02:00:00,,0.004,,46.0,,0.005,,0.025,,0.7,,0.031,,0.006,,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 03:00:00,437181,2021-01-05 03:00:00,,0.004,,53.0,,0.003,,0.025,,0.8,,0.034,,0.009,,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 04:00:00,437181,2021-01-05 04:00:00,,0.004,,56.0,,0.004,,0.026,,0.8,,0.038,,0.012,,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 05:00:00,437181,2021-01-05 05:00:00,,0.004,,58.0,,0.003,,0.026,,0.8,,0.047,,0.021,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 06:00:00,437181,2021-01-05 06:00:00,,0.004,,53.0,,0.019,,0.018,,0.6,,0.027,,0.009,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 07:00:00,437181,2021-01-05 07:00:00,,0.005,,61.0,,0.003,,0.028,,0.7,,0.048,,0.02,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 08:00:00,437181,2021-01-05 08:00:00,,0.004,,59.0,,0.01,,0.028,,0.6,,0.049,,0.021,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 09:00:00,437181,2021-01-05 09:00:00,,0.004,,59.0,,0.027,,0.013,,0.5,,0.017,,0.004,,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 10:00:00,437181,2021-01-05 10:00:00,,0.004,,46.0,,0.036,,0.007,,0.4,,0.01,,0.003,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 11:00:00,437181,2021-01-05 11:00:00,,0.004,,42.0,,0.035,,0.007,,0.4,,0.011,,0.004,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 12:00:00,437181,2021-01-05 12:00:00,,0.004,,40.0,,0.035,,0.008,,0.4,,0.012,,0.004,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 13:00:00,437181,2021-01-05 13:00:00,,0.004,,41.0,,0.036,,0.009,,0.3,,0.013,,0.004,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 14:00:00,437181,2021-01-05 14:00:00,,0.004,,32.0,,0.038,,0.009,,0.3,,0.013,,0.004,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 15:00:00,437181,2021-01-05 15:00:00,,0.004,,27.0,,0.037,,0.011,,0.3,,0.016,,0.005,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 16:00:00,437181,2021-01-05 16:00:00,,0.005,,33.0,,0.037,,0.012,,0.3,,0.016,,0.004,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 17:00:00,437181,2021-01-05 17:00:00,,0.005,,32.0,,0.04,,0.01,,0.3,,0.013,,0.003,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 18:00:00,437181,2021-01-05 18:00:00,,0.005,,23.0,,0.04,,0.01,,0.3,,0.013,,0.003,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 19:00:00,437181,2021-01-05 19:00:00,,0.004,,16.0,,0.041,,0.008,,0.3,,0.011,,0.003,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 20:00:00,437181,2021-01-05 20:00:00,,0.004,,26.0,,0.038,,0.009,,0.3,,0.012,,0.003,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 21:00:00,437181,2021-01-05 21:00:00,,0.003,,33.0,,0.037,,0.009,,0.3,,0.011,,0.002,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05 22:00:00,437181,2021-01-05 22:00:00,,0.003,,29.0,,0.036,,0.01,,0.4,,0.013,,0.003,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
